datasci,height,month,date,visit,guess,birthday
TRUE,163,9,14,No,54,even
TRUE,164,10,22,No,54,even
TRUE,146,8,23,No,40,odd
TRUE,148,9,18,No,36,even
TRUE,145.6,12,18,No,55,even
TRUE,176,10,10,No,52,even
TRUE,158,5,3,No,20,odd
TRUE,153,4,11,No,38,odd
TRUE,156,11,9,No,30,odd
TRUE,173,8,27,Yes,25,odd
TRUE,164,3,3,No,45,odd
FALSE,167,2,24,No,70,even
FALSE,162,11,4,No,48,even
FALSE,161,9,18,No,50,even
FALSE,171,2,18,No,55,even
FALSE,153,7,31,No,25,odd
FALSE,163,1,14,No,20,even
FALSE,180,1,10,No,80,even
FALSE,176,4,18,No,60,even
FALSE,181,8,2,No,10,even
FALSE,160.5,8,3,No,25,odd
FALSE,154,5,8,No,60,even
FALSE,175,11,16,No,8,even
FALSE,178,11,18,No,40,even
FALSE,172,3,16,No,50,even
FALSE,156,7,28,No,8,even
FALSE,165,2,5,No,50,odd
FALSE,175,11,1,No,50,odd
FALSE,177,2,13,No,23,odd
FALSE,7,12,11,Yes,18,odd
FALSE,164,11,3,No,32,odd
FALSE,180,11,6,No,70,even
FALSE,162,12,15,No,9,odd
FALSE,175,10,1,No,16,odd
FALSE,162,9,12,No,100,even
FALSE,158,11,9,No,23,odd
FALSE,160,6,18,No,65,even
FALSE,153,4,11,No,30,odd
FALSE,168,7,29,No,30,odd
FALSE,156,11,23,No,23,odd
FALSE,180,10,14,No,56,even
FALSE,170,4,28,No,50,even
FALSE,158,9,13,No,50,odd
FALSE,153,12,29,No,19,odd
FALSE,149,10,31,No,25,odd
FALSE,150,11,20,No,70,even
FALSE,158,7,31,No,18,odd
FALSE,159,3,28,No,30,even
FALSE,164,11,17,No,21,odd
FALSE,161,7,30,Yes,50,even
FALSE,172,6,13,No,50,odd
FALSE,165,6,2,No,60,even
FALSE,157,2,7,No,18,odd
FALSE,166,7,23,No,20,odd
FALSE,157,2,7,No,18,odd
FALSE,157,2,7,No,18,odd
